#"+ESI Scan (rt: 1.013-2.488 min, 446 scans) Frag=120.0V 13C-DNA-digested.d  Subtract "
#Point,X(Thompsons),Y(Counts)
0,100.0016,0.376953125
1,100.0045,0.772047996520996
2,100.0073,0.492866039276123
3,100.0102,0
4,100.0131,0
5,100.0159,0.287199020385742
6,100.0188,0.831634521484375
7,100.0217,1.11020517349243
8,100.0245,0.920641422271729
9,100.0274,2.79732275009155
10,100.0303,2.60123682022095
11,100.0331,2.8800106048584
12,100.0360,3.63092803955078
13,100.0389,3.81009674072266
14,100.0417,3.67067527770996
15,100.0446,2.70967483520508
16,100.0475,2.54844379425049
17,100.0503,1.55265617370605
18,100.0532,2.5400185585022
19,100.0561,2.55598592758179